id,date,team,site,q_kept_informed,q_know_what_changes_for_me,q_leaders_visible,comment
cm26,2026-07-30,Depot Admin,Bristol,3,3,4,"The town hall was useful, the slides afterwards were not."
cm27,2026-07-30,Customer Care,Bristol,4,1,3,
cm28,2026-07-30,Field Ops,Leeds,2,2,3,
cm29,2026-07-30,Depot Admin,Bristol,3,2,5,"My supervisor couldn't answer basic questions when I asked, so who do I ask?"
cm30,2026-07-30,Finance,Leeds,5,3,5,"The town hall was useful, the slides afterwards were not."
cm31,2026-07-30,Depot Admin,Bristol,5,3,5,"My supervisor couldn't answer basic questions when I asked, so who do I ask?"
cm32,2026-07-30,Customer Care,Bristol,4,4,3,I hear more about this from the depot WhatsApp group than from the programme.
cm33,2026-07-30,Field Ops,Bristol,3,3,3,
cm34,2026-07-30,Finance,Leeds,5,5,4,Clear enough on the why. Zero clarity on the when for my team.
cm35,2026-07-30,Depot Admin,Bristol,3,2,4,"My supervisor couldn't answer basic questions when I asked, so who do I ask?"
cm36,2026-07-30,Customer Care,Bristol,4,3,3,"My supervisor couldn't answer basic questions when I asked, so who do I ask?"
cm37,2026-07-30,Finance,Leeds,4,4,5,"Too many emails, all of them about milestones rather than what I have to do differently."
cm38,2026-07-30,Depot Admin,Bristol,3,3,2,
cm39,2026-07-30,Field Ops,Leeds,5,2,2,"The town hall was useful, the slides afterwards were not."
cm40,2026-07-30,Depot Admin,Leeds,2,4,4,I hear more about this from the depot WhatsApp group than from the programme.
cm41,2026-07-30,Depot Admin,Bristol,2,3,2,Clear enough on the why. Zero clarity on the when for my team.
cm42,2026-07-30,Finance,Leeds,5,4,4,
cm43,2026-07-30,Customer Care,Bristol,3,3,4,
cm44,2026-07-30,Depot Admin,Bristol,3,3,4,
cm45,2026-07-30,Depot Admin,Bristol,3,3,4,I didn't know there was a portal until this survey mentioned it.
cm46,2026-07-30,Depot Admin,Leeds,4,3,3,I didn't know there was a portal until this survey mentioned it.
cm47,2026-07-30,Finance,Leeds,3,4,4,
cm48,2026-07-30,Finance,Leeds,3,4,4,
cm49,2026-07-30,Depot Admin,Bristol,4,3,4,Would rather have a five minute team brief than another newsletter.
cm50,2026-07-30,Field Ops,Leeds,5,1,1,The Friday bulletin is fine but nothing in it tells me what changes for my day.
cm51,2026-07-30,Depot Admin,Leeds,3,3,3,I didn't know there was a portal until this survey mentioned it.
cm52,2026-07-30,Field Ops,Bristol,4,1,3,
cm53,2026-07-30,Field Ops,Bristol,3,1,3,The Friday bulletin is fine but nothing in it tells me what changes for my day.
cm54,2026-07-30,Field Ops,Leeds,4,3,2,
cm55,2026-07-30,Depot Admin,Bristol,5,2,4,
cm56,2026-07-30,Depot Admin,Leeds,4,3,3,"The town hall was useful, the slides afterwards were not."
cm57,2026-07-30,Customer Care,Bristol,4,3,4,"Too many emails, all of them about milestones rather than what I have to do differently."
cm58,2026-07-30,Finance,Leeds,5,4,3,"My supervisor couldn't answer basic questions when I asked, so who do I ask?"
cm59,2026-07-30,Field Ops,Leeds,4,2,4,I didn't know there was a portal until this survey mentioned it.
cm60,2026-07-30,Finance,Leeds,5,4,3,"The town hall was useful, the slides afterwards were not."
cm61,2026-07-30,Field Ops,Bristol,4,3,2,I didn't know there was a portal until this survey mentioned it.
cm62,2026-07-30,Field Ops,Leeds,3,1,3,
cm63,2026-07-30,Depot Admin,Bristol,3,4,2,I hear more about this from the depot WhatsApp group than from the programme.
